feature,gain,gain_pct,group
expected_fare_tow,564.6725463867188,32.43,타깃인코딩
rc_route_fare,266.8794860839844,15.33,타깃인코딩
RatecodeID,232.37440490722656,13.35,원본
expected_fare_med,136.41009521484375,7.83,타깃인코딩
same_zone,55.00164031982422,3.16,플래그
is_rush_hour,42.51136016845703,2.44,플래그
rc_tow_rate,37.19499206542969,2.14,타깃인코딩
VendorID,33.00495529174805,1.9,원본
pickup_airport,31.96152687072754,1.84,플래그
is_weekend,27.232982635498047,1.56,플래그
trip_distance,26.886375427246094,1.54,원본
is_overnight,25.136587142944336,1.44,플래그
dropoff_log_count,20.917715072631836,1.2,빈도인코딩
expected_fare_rc,20.1732234954834,1.16,타깃인코딩
dropoff_airport,20.059598922729492,1.15,플래그
pickup_log_count,18.57775115966797,1.07,빈도인코딩
weekday_sin,17.79553985595703,1.02,시간(순환)
route_log_count,16.654373168945312,0.96,빈도인코딩
rc_route_rate_med,16.777284622192383,0.96,타깃인코딩
DOLocationID,16.243911743164062,0.93,원본
hour_cos,15.21640682220459,0.87,시간(순환)
hour_sin,14.199016571044922,0.82,시간(순환)
PULocationID,14.351996421813965,0.82,원본
rc_route_rate,13.720284461975098,0.79,타깃인코딩
pickup_tow_rate,12.968586921691895,0.74,타깃인코딩
weekday_cos,12.000982284545898,0.69,시간(순환)
passenger_count,11.1834135055542,0.64,원본
expected_fare_route,10.938676834106445,0.63,타깃인코딩
route_rate,10.065332412719727,0.58,타깃인코딩
